0,1000000000.0, 0.000000E+000, 0.000000E+000,0,0
1,1050000000.0, 0.000000E+000, 0.000000E+000,0,0
2,1100000000.0, 0.000000E+000, 0.000000E+000,0,0
3,1150000000.0, 0.000000E+000, 0.000000E+000,0,0
4,1200000000.0, 0.000000E+000, 0.000000E+000,0,0
5,1250000000.0, 0.000000E+000, 0.000000E+000,0,0
6,1300000000.0, 0.000000E+000, 0.000000E+000,0,0
7,1350000000.0, 0.000000E+000, 0.000000E+000,0,0
8,1400000000.0, 0.000000E+000, 0.000000E+000,0,0
9,1450000000.0, 0.000000E+000, 0.000000E+000,0,0
10,1500000000.0, 0.000000E+000, 0.000000E+000,0,0
11,1550000000.0, 0.000000E+000, 0.000000E+000,0,0
12,1600000000.0, 0.000000E+000, 0.000000E+000,0,0
13,1650000000.0, 0.000000E+000, 0.000000E+000,0,0
14,1700000000.0, 0.000000E+000, 0.000000E+000,0,0
15,1750000000.0, 0.000000E+000, 0.000000E+000,0,0
16,1800000000.0, 0.000000E+000, 0.000000E+000,0,0
17,1850000000.0, 0.000000E+000, 0.000000E+000,0,0
18,1900000000.0, 0.000000E+000, 0.000000E+000,0,0
19,1950000000.0, 0.000000E+000, 0.000000E+000,0,0
20,2000000000.0, 0.000000E+000, 0.000000E+000,0,0
21,2050000000.0, 0.000000E+000, 0.000000E+000,0,0
22,2100000000.0, 0.000000E+000, 0.000000E+000,0,0
23,2150000000.0, 0.000000E+000, 0.000000E+000,0,0
24,2200000000.0, 0.000000E+000, 0.000000E+000,0,0
25,2250000000.0, 0.000000E+000, 0.000000E+000,0,0
26,2300000000.0, 0.000000E+000, 0.000000E+000,0,0
27,2350000000.0, 0.000000E+000, 0.000000E+000,0,0
28,2400000000.0, 0.000000E+000, 0.000000E+000,0,0
29,2450000000.0, 0.000000E+000, 0.000000E+000,0,0
30,2500000000.0, 0.000000E+000, 0.000000E+000,0,0
31,2550000000.0, 0.000000E+000, 0.000000E+000,0,0
32,2600000000.0, 0.000000E+000, 0.000000E+000,0,0
33,2650000000.0, 0.000000E+000, 0.000000E+000,0,0
34,2700000000.0, 0.000000E+000, 0.000000E+000,0,0
35,2750000000.0, 0.000000E+000, 0.000000E+000,0,0
36,2800000000.0, 0.000000E+000, 0.000000E+000,0,0
37,2850000000.0, 0.000000E+000, 0.000000E+000,0,0
38,2900000000.0, 0.000000E+000, 0.000000E+000,0,0
39,2950000000.0, 0.000000E+000, 0.000000E+000,0,0
40,3000000000.0, 0.000000E+000, 0.000000E+000,0,0
41,3050000000.0, 0.000000E+000, 0.000000E+000,0,0
42,3100000000.0,-2.177665E+001,-2.924945E+001,0,0
43,3150000000.0,-2.488434E+001, 4.208911E+001,0,0
44,3200000000.0,-2.319483E+001, 1.641512E+002,0,0
45,3250000000.0,-2.046331E+001, 2.222219E+001,0,0
46,3300000000.0,-2.013239E+001,-1.384678E+002,0,0
47,3350000000.0,-2.633020E+001, 1.198791E+002,0,0
48,3400000000.0,-1.830091E+001, 6.248540E+001,0,0
49,3450000000.0,-1.282431E+001,-8.112500E+001,0,0
50,3500000000.0,-1.224001E+001, 1.285225E+002,0,0
51,3550000000.0,-1.070694E+001,-5.802906E+000,0,0
52,3600000000.0,-1.323607E+001,-1.522198E+002,0,0
53,3650000000.0,-1.802442E+001, 5.459665E+001,0,0
54,3700000000.0,-2.542498E+001,-2.265579E+001,0,0
55,3750000000.0,-2.884245E+001,-1.255609E+002,0,0
56,3800000000.0,-2.730938E+001,-7.130079E+001,0,0
57,3850000000.0,-2.128760E+001, 9.039660E+001,0,0
58,3900000000.0,-1.829722E+001,-7.897646E+001,0,0
59,3950000000.0,-1.681351E+001, 9.394049E+001,0,0
60,4000000000.0,-1.876557E+001,-8.730789E+001,0,0
61,4050000000.0,-2.451999E+001, 1.537775E+002,0,0
62,4100000000.0,-1.722401E+001, 2.683805E+001,0,0
63,4150000000.0,-1.997396E+001,-1.140561E+002,0,0
64,4200000000.0,-1.757680E+001, 1.495015E+002,0,0
65,4250000000.0,-1.897889E+001, 3.400547E+001,0,0
66,4300000000.0,-1.676425E+001,-8.772538E+001,0,0
67,4350000000.0,-1.799412E+001, 1.307038E+002,0,0
68,4400000000.0,-2.526730E+001, 5.212423E+001,0,0
69,4450000000.0,-2.038529E+001,-1.072739E+002,0,0
70,4500000000.0,-2.940899E+001, 5.838147E+001,0,0
71,4550000000.0,-2.576839E+001,-1.773562E+002,0,0
72,4600000000.0,-2.330011E+001, 2.762807E+001,0,0
73,4650000000.0,-2.578561E+001,-1.478116E+002,0,0
74,4700000000.0,-3.008911E+001,-3.083341E+001,0,0
75,4750000000.0,-2.746449E+001, 1.764635E+002,0,0
76,4800000000.0,-2.483444E+001, 8.496993E+001,0,0
77,4850000000.0,-2.532325E+001,-9.215814E+001,0,0
78,4900000000.0,-2.964837E+001,-1.409077E+002,0,0
79,4950000000.0,-2.308212E+001, 1.012574E+002,0,0
80,5000000000.0,-2.485031E+001,-3.673053E+001,0,0
81,5050000000.0,-2.645485E+001,-1.289803E+002,0,0
82,5100000000.0,-2.373437E+001, 1.392089E+002,0,0
83,5150000000.0,-2.162721E+001,-8.740600E+000,0,0
84,5200000000.0,-3.200691E+001, 1.132150E+002,0,0
85,5250000000.0,-2.439286E+001,-1.192045E+002,0,0
86,5300000000.0,-2.391061E+001, 1.103755E+002,0,0
87,5350000000.0,-2.348714E+001, 2.852298E+000,0,0
88,5400000000.0,-2.084519E+001,-8.943481E+001,0,0
89,5450000000.0,-1.793709E+001, 1.333853E+002,0,0
